Company,Ticker
3M India Ltd.,3MINDIA.NS
ABB India Ltd.,ABB.NS
ACC Ltd.,ACC.NS
AIA Engineering Ltd.,AIAENG.NS
APL Apollo Tubes Ltd.,APLAPOLLO.NS
AU Small Finance Bank Ltd.,AUBANK.NS
Aavas Financiers Ltd.,AAVAS.NS
Adani Green Energy Ltd.,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS
Adani Power Ltd.,ADANIPOWER.NS
Adani Transmission Ltd.,ADANITRANS.NS
Aditya Birla Capital Ltd.,ABCAPITAL.NS
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS
Advanced Enzyme Tech Ltd.,ADVENZYMES.NS
Aegis Logistics Ltd.,AEGISCHEM.NS
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS
Akzo Nobel India Ltd.,AKZOINDIA.NS
Alembic Pharmaceuticals Ltd.,APLLTD.NS
Alkem Laboratories Ltd.,ALKEM.NS
Allahabad Bank,ALBK.NS
Allcargo Logistics Ltd.,ALLCARGO.NS
Amara Raja Batteries Ltd.,AMARAJABAT.NS
Ambuja Cements Ltd.,AMBUJACEM.NS
Andhra Bank,ANDHRABANK.NS
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS
Apollo Tyres Ltd.,APOLLOTYRE.NS
Ashok Leyland Ltd.,ASHOKLEY.NS
Ashoka Buildcon Ltd.,ASHOKA.NS
Asian Paints Ltd.,ASIANPAINT.NS
Aster DM Healthcare Ltd.,ASTERDM.NS
AstraZenca Pharma India Ltd.,ASTRAZEN.NS
Astral Poly Technik Ltd.,ASTRAL.NS
Atul Ltd.,ATUL.NS
Aurobindo Pharma Ltd.,AUROPHARMA.NS
Avanti Feeds Ltd.,AVANTIFEED.NS
Avenue Supermarts Ltd.,DMART.NS
Axis Bank Ltd.,AXISBANK.NS
BASF India Ltd.,BASF.NS
BEML Ltd.,BEML.NS
BSE Ltd.,BSE.NS
Bajaj Auto Ltd.,BAJAJ-AUTO.NS
Bajaj Consumer Care Ltd.,BAJAJCON.NS
Bajaj Electricals Ltd,BAJAJELEC.NS
Bajaj Finance Ltd.,BAJFINANCE.NS
Bajaj Finserv Ltd.,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS
Balkrishna Industries Ltd.,BALKRISIND.NS
Balmer Lawrie & Co. Ltd.,BALMLAWRIE.NS
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS
Bandhan Bank Ltd.,BANDHANBNK.NS
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Bank of Maharashtra.,MAHABANK.NS
Bata India Ltd.,BATAINDIA.NS
Berger Paints India Ltd.,BERGEPAINT.NS
Bharat Dynamics Ltd.,BDL.NS
Bharat Electronics Ltd.,BEL.NS
Bharat Forge Ltd.,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
Bharat Petroleum Corporation Ltd.,BPCL.NS
Bharti Airtel Ltd.,BHARTIARTL.NS
Bharti Infratel Ltd.,INFRATEL.NS
Biocon Ltd.,BIOCON.NS
Birla Corporation Ltd.,BIRLACORPN.NS
Bliss GVS Pharma Ltd.,BLISSGVS.NS
Blue Dart Express Ltd.,BLUEDART.NS
Blue Star Ltd.,BLUESTARCO.NS
Bombay Burmah Trading Corporation Ltd.,BBTC.NS
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING.NS
Bosch Ltd.,BOSCHLTD.NS
Brigade Enterprises Ltd.,BRIGADE.NS
Britannia Industries Ltd.,BRITANNIA.NS
CARE Ratings Ltd.,CARERATING.NS
CCL Products (I) Ltd.,CCL.NS
CESC Ltd.,CESC.NS
CG Power and Industrial Solutions Ltd.,CGPOWER.NS
CRISIL Ltd.,CRISIL.NS
Cadila Healthcare Ltd.,CADILAHC.NS
Can Fin Homes Ltd.,CANFINHOME.NS
Canara Bank,CANBK.NS
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS
Carborundum Universal Ltd.,CARBORUNIV.NS
Castrol India Ltd.,CASTROLIND.NS
Ceat Ltd.,CEATLTD.NS
Central Bank of India,CENTRALBK.NS
Central Depository Services (India) Ltd.,CDSL.NS
Century Plyboards (India) Ltd.,CENTURYPLY.NS
Cera Sanitaryware Ltd,CERA.NS
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS
